d_loss,g_loss
0.462829083,2.887684107
0.365341961,2.003658533
0.330167055,1.966470003
0.319870204,1.62764132
0.412813485,2.856558561
0.429843694,2.431269169
0.392480791,2.200665236
0.417148918,2.748133898
0.37506777,2.895563126
0.424924582,2.096145868
0.395858914,2.175784588
0.398538381,1.537631035
0.386677086,2.593769312
0.440052003,2.40518713
0.415978909,1.048100471
0.481857389,1.9483006
0.402044237,2.069740057
0.39395991,1.971801043
0.399906963,1.994076014
0.432479382,2.15421772
0.410508603,2.294483185
0.441673815,2.829414845
0.406111449,2.334668875
0.427149326,1.968005657
0.492766649,1.514156818
0.446363419,2.027681112
0.41632548,1.929958105
0.51453048,1.721172094
0.455100536,1.381206632
0.455250651,2.464168549
0.417339861,1.28671205
0.464384943,2.082187176
0.449510098,1.640853882
0.411712438,2.174423218
0.460843384,2.096877575
0.451341212,1.8495152
0.41579482,2.53386879
0.435282052,1.50993371
0.466092557,1.753874063
0.404066414,1.854983568
0.431035519,1.544989228
0.403755665,2.001217365
0.409265667,2.205066681
0.470654666,2.052852869
0.414891571,1.978142977
0.582095802,2.72484827
0.427144706,2.047071218
0.45111236,2.011440516
0.403172344,2.795987844
0.411953747,1.410348535
0.411338866,2.220905304
0.420400679,1.752684474
0.397342891,2.062997341
0.420440614,1.972639203
0.39399904,2.796246529
0.42486313,2.434859514
0.410269886,1.658277035
0.401058525,1.727708817
0.406740367,2.71857667
0.443680108,2.020479202
0.390498161,1.709237337
0.495950252,3.660269499
0.413490564,1.827682257
0.465779454,2.840390682
0.371243984,2.161986828
0.44240877,2.368180275
0.400705516,2.284461021
0.394033372,2.133916616
0.4509646,2.628641367
0.435727358,1.26387167
0.394879758,2.539224386
0.460109293,2.295154095
0.415166318,1.702563643
0.427561253,2.064753294
0.396718025,1.684578419
0.415962398,2.451007366
0.383146107,2.489806652
0.373798698,2.25859952
0.404873163,2.035747051
0.47808823,2.396366119
0.419166982,1.705227494
0.403969854,2.160690308
0.441949457,1.750866771
0.381296843,2.618592739
0.421695024,2.476488352
0.388834983,1.810553074
0.385574639,2.077893972
0.377736062,2.10402298
0.377564907,1.507638216
0.397797018,2.233775854
0.404814303,2.371179104
0.411540926,2.310698986
0.413493305,2.083209515
0.453215599,1.442497849
0.384051174,2.467133999
0.414720595,2.07510376
0.403876752,2.815886974
0.404774904,2.399554014
0.379203469,2.539538383
0.399341851,2.693296432
0.400736034,1.850611091
0.405103028,1.742473602
0.427856058,1.792556047
0.373333722,1.835345149
0.414440304,1.85960412
0.425167739,1.791496992
0.401207507,1.670771122
0.379759997,1.869218946
0.402258694,1.921863317
0.453684479,1.772271276
0.413067073,1.56058538
0.444594681,1.702035666
0.432247251,1.564510345
0.421854407,1.639488697
0.395656884,1.838350773
0.471479088,1.494698405
0.463202387,1.584221601
0.440030575,1.815024257
0.447002709,1.54914999
0.456914276,1.654638052
0.464535207,1.360746026
0.465950102,1.785809398
0.422783792,1.667320013
0.423795402,1.506401062
0.471642524,1.71333158
0.439830244,1.604885697
0.446660757,1.557305813
0.438358486,1.697767496
0.439270586,1.682192564
0.432737082,1.559717894
0.435635358,1.467308044
0.458572924,1.606196165
0.451755077,1.502774239
0.444074899,1.835042953
0.440569371,1.717712879
0.46364966,1.614115953
0.448358387,1.649944425
0.438373357,1.536196709
0.418980122,1.669971704
0.432321697,1.751492023
0.47870326,1.562145233
0.441878408,1.693892121
0.438518226,1.568859458
0.476370186,1.606429338
0.45186609,1.475857019
0.468031883,1.416442633
0.440388024,1.649000645
0.462520182,1.52425468
0.445462286,1.472975254
0.424756199,1.693442345
0.461173266,1.371822476
0.454488128,1.58904171
0.481228739,1.499941349
0.460933149,1.614884853
0.460955292,1.57030499
0.466591924,1.497492671
0.462744087,1.513796329
0.484030396,1.518066049
0.448503166,1.46865344
0.461283147,1.454006433
0.449773639,1.9970963
0.44098267,1.648948193
0.454660356,1.36503911
0.500230789,1.494145155
0.424202383,1.43260026
0.423326254,1.513941765
0.459977537,1.37820065
0.460863262,1.474602103
0.452821493,1.766134977
0.490731448,1.534736395
0.497367591,1.376737475
0.47265324,2.022130489
0.494940132,1.592015505
0.450440347,1.72528863
0.467215568,1.532457113
0.470480293,1.314854622
0.460871845,1.382742643
0.452935964,1.537209392
0.443011105,1.595419407
0.462927729,1.576423645
0.480463833,1.578480959
0.458811551,1.626789808
0.445632488,1.386839032
0.460176915,1.381862402
0.484898806,1.443068504
0.474123418,1.675967813
0.475649387,1.500151515
0.431200176,1.736270547
0.427991062,1.446446538
0.439881593,1.537013769
0.418766171,1.578681111
0.477963239,1.404420376
0.424206257,1.515981197
0.45509246,1.543666363
0.439863145,1.541654825
0.429995745,1.542477608
0.427986085,1.447171092
0.487025738,1.478543043
0.426565588,1.422250271
0.45184809,1.434828162
0.476571023,1.564596176
0.433827549,1.737647057
0.431782514,1.684476376
0.483812183,1.342383146
0.473750204,1.693682194
0.425321192,1.638539076
0.443580478,1.231565475
0.450694829,1.450580478
0.471846133,1.48060441
0.431203663,1.627938032
0.491395146,1.280406594
0.450556576,1.449277878
0.474433213,1.352364302
0.455489814,1.468202114
0.455069542,1.600929856
0.469386995,1.379680037
